,Company_name,Symbol,Sector,Shares_outstanding,Market_price,Percent_change,Last_traded,52_weeks_low_high,180_day_average,120_day_average,1_year_yield,EPS,PE_ratio,Book_value,PBV,30_day_avg_volume,Market_capitalization,Sektor,Listed_shares,Paidup_value,Total_paidup_value
172,Shine Resunga Development Bank Ltd.,SHINE,Development_Bank_Limited,34084639.1,471,0.6,7/20/2021 12:42,494.00-230.00,320.08,348.9,89.55,17.54,26.85,138.5,3.4,101290,16053865016,Development Bank Limited,34084639.1,100,3408463910
173,SHIVAM CEMENTS LTD,SHIVM,Manufacturing_And_Processing,44000000,1527,0.79,7/20/2021 12:42,"1,670.00-570.00",1493.17,1485.76,124.44,33.03,46.23,215.38,7.09,30210,67188000000,Manufacturing And Processing,44000000,100,4400000000
174,Soaltee Hotel Limited,SHL,Hotels_And_Tourism,8425797.3,272,1.87,7/20/2021 12:42,300.00-148.00,220.26,227.22,67.92,2.16,-125.93,17.96,15.14,87234,2291816866,Hotels And Tourism,8425797.3,10,84257973
175,Sanima Mai Hydropower Ltd.,SHPC,Hydro_Power,28084100,543,1.5,7/20/2021 12:43,569.00-217.00,407.22,438.65,124.79,16.15,33.62,121.85,4.46,105719,15249666300,Hydro Power,28084100,100,2808410000
176,Sagarmatha Insurance Co. Ltd.,SIC,Non_Life_Insurance,11113574,1418,-0.56,7/20/2021 12:43,"1,835.00-710.00",1559.61,1597.27,100.28,34.25,41.4,143.5,9.88,7846,15759047932,Non-Life Insurance,11113574,100,1111357400
177,Shikhar Insurance Co. Ltd.,SICL,Non_Life_Insurance,17585240,2070,0.34,7/20/2021 12:43,"2,830.00-1,070.00",2162.64,2000.52,82.07,27.55,75.14,135.12,15.32,26555,36401446800,Non-Life Insurance,17585240,100,1758524000
178,Shree Investment Finance Co. Ltd.,SIFC,Finance,8901348.8,490,0.41,7/20/2021 12:43,550.00-147.00,304.33,342.43,201.23,11.88,41.25,137.13,3.57,55917,4361660912,Finance,8901348.8,100,890134880
179,Siddhartha Investment Growth Scheme - 2,SIGS2,Mutual_Fund,,15.81,6.54,7/20/2021 12:43,14.84-10.45,12.59,13.12,0,0,0,0,15.81,1098299,0,Mutual Fund,0,10,0
180,Siddhartha Insurance Ltd.,SIL,Non_Life_Insurance,11200000,1099,-0.09,7/20/2021 12:43,"1,360.00-578.00",1181.78,1187.88,76,20.25,54.27,135.11,8.13,8265,12308800000,Non-Life Insurance,11200000,100,1120000000
181,Sindhu Bikash Bank Ltd,SINDU,Development_Bank_Limited,5574560.7,456,-0.22,7/20/2021 12:43,457.00-120.00,265.1,305.62,243.61,8.53,53.46,116.07,3.93,51236,2541999679,Development Bank Limited,5574560.7,100,557456070
182,SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL,Hydro_Power,32850000,455,2.25,7/20/2021 12:43,520.00-133.00,394.67,440.13,220.14,0.86,-529.07,95.17,4.78,38746,14946750000,Hydro Power,32850000,100,3285000000
183,Sana Kisan Bikas Laghubitta Bittiya sanstha Limited.,SKBBL,Microfinance,12515309.8,1692,-0.47,7/20/2021 12:43,"1,783.00-1,210.00",1651.51,1657.04,22.33,49.58,34.13,274.19,6.17,11972,21175904182,Microfinance,12515309.8,100,1251530980
184,Swarojgar Laghubitta Bittiya Sanstha Ltd.,SLBBL,Microfinance,4112793,1549,0.13,7/20/2021 12:43,"1,606.00-790.00",1421.52,1447.25,63.42,36.52,42.42,140.19,11.05,12033,6370716357,Microfinance,4112793,100,411279300
185,Suryodaya Laghubitta Bittiya Sanstha Ltd.,SLBS,Microfinance,2480429.3,1757,-1.51,7/20/2021 12:43,"2,265.00-894.00",1838.79,1814.34,61.89,33.8,51.98,156.96,11.19,1328,4358114280,Microfinance,2480429.3,100,248042930
186,Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL,Microfinance,1320000,1520,-2.25,7/20/2021 12:45,"1,693.00-755.00",1377.79,1439.05,67.93,17.28,87.96,150.38,10.11,1817,2006400000,Microfinance,1320000,100,132000000
187,Sanima Large Cap Fund,SLCF,Mutual_Fund,,10.53,3.44,7/20/2021 12:45,10.50-9.76,10.01,10.03,0,0,0,0,10.53,30712,0,Mutual Fund,0,10,0
188,Surya Life Insurance Company Limited,SLICL,Life_Insurance,22628950,960,-0.52,7/20/2021 12:45,"1,053.00-428.00",883.41,903.16,106.2,17.15,55.98,135.73,7.07,30383,21723792000,Life Insurance,22628950,100,2262895000
189,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,Microfinance,2752081.9,1706,0.29,7/20/2021 12:45,"1,876.00-605.00",1514.5,1517.98,157.73,31.98,53.35,149.06,11.45,4991,4695051721,Microfinance,2752081.9,100,275208190
190,Support Microfinance Bittiya Sanstha Ltd.,SMB,Microfinance,660000,2539,-0.31,7/20/2021 12:45,"2,634.00-802.00",2254.32,2394.04,184.26,42.99,59.06,160.87,15.78,668,1675740000,Microfinance,660000,100,66000000
191,Swabhimaan Laghubitta Bittiya Sanstha Ltd,SMFBS,Microfinance,920500,2584,-0.04,7/20/2021 12:45,"3,055.00-862.00",2388.62,2503.43,167.32,57.33,45.07,154.99,16.67,953,2378572000,Microfinance,920500,100,92050000
192,Summit Laghubitta Bittiya Sanstha  Ltd.,SMFDB,Microfinance,3943000,1685,-2.03,7/20/2021 12:45,"1,905.00-750.00",1497.24,1632.51,121.94,33.88,49.73,151.35,11.13,4924,6643955000,Microfinance,3943000,100,394300000
193,Naya Sarathi Nepal Laghubitta Bittiya Sanstha Limited,SNLB,Microfinance,2353861.5,1835,-2.24,7/20/2021 12:45,"1,885.00-876.00",1625.18,1674.42,0,37.12,49.43,171.83,10.68,4410,4319335853,Microfinance,2353861.5,100,235386150
194,Synergy Power Development Ltd.,SPDL,Hydro_Power,7332500,537,4.31,7/20/2021 12:45,514.80-97.00,330.05,364.59,390.29,11.39,47.15,108.66,4.94,100768,3937552500,Hydro Power,7332500,100,733250000
195,Sunrise Bank Limited,SRBL,Commercial_Banks,94879445,376,-0.79,7/20/2021 12:45,395.00-223.00,326.51,336.57,51,15.88,23.68,152.37,2.47,135894,35674671320,Commercial Banks,94879445,100,9487944500
196,Shiva Shree Hydropower Limited,SSHL,Hydro_Power,14304000,345,1.47,7/20/2021 12:45,388.00-132.00,243.46,278.35,0,0,0,100,3.45,57086,4934880000,Hydro Power,14304000,100,1430400000
197,Salt Trading Corporation,STC,Tradings,1920246,10701,2.89,7/20/2021 12:45,"13,317.00-2,655.00",10075.32,10656.98,263.64,26.35,406.11,784.66,13.64,1350,20548552446,Tradings,1920246,100,192024600
198,Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL,Microfinance,9430000,1750,0.57,7/20/2021 12:45,"2,152.00-1,170.00",1802.51,1728.06,42.04,20.21,86.59,237.13,7.38,6368,16502500000,Microfinance,9430000,100,943000000
199,Taragaon Regency Hotel Limited,TRH,Hotels_And_Tourism,18866540,432,4.35,7/20/2021 12:45,422.00-182.00,339.5,344.73,125,8.94,-48.32,108.05,4,45964,8150345280,Hotels And Tourism,18866540,100,1886654000
200,United Insurance Co. (Nepal) Ltd.,UIC,Non_Life_Insurance,10281600,754,-0.79,7/20/2021 12:45,850.00-354.00,700.97,727.57,89.53,6.84,110.23,110.88,6.8,40041,7752326400,Non-Life Insurance,10281600,100,1028160000
201,United Modi Hydropower Ltd.,UMHL,Hydro_Power,11500000,418,2.7,7/20/2021 12:45,450.00-100.00,249.09,291.55,302.97,6.12,68.3,105.72,3.95,165820,4807000000,Hydro Power,11500000,100,1150000000
